Chart Recorder Data File Tue, Feb 25, 2020 12:04 PM
Time (s)	Position (m)  
11:02:28.048	0.231000
11:02:30.048	0.232000
11:02:31.048	0.232000
11:02:32.048	0.231000
11:02:33.049	0.231000
11:02:34.048	0.231000
11:02:35.049	0.230000
11:02:36.048	0.230000
11:02:37.048	0.230000
11:02:38.049	0.230000
11:02:39.048	0.230000
11:02:40.049	0.230000
11:02:41.048	0.230000
11:02:42.048	0.230000
11:02:43.048	0.229000
11:02:44.048	0.229000
11:02:45.049	0.229000
11:02:46.048	0.229000
11:02:47.049	0.229000
11:02:48.048	0.228000
11:02:49.048	0.228000
11:02:50.048	0.228000
11:02:51.048	0.228000
11:02:52.049	0.228000
11:02:53.048	0.228000
11:02:54.049	0.227000
11:02:55.048	0.227000
11:02:56.048	0.227000
11:02:57.048	0.227000
11:02:58.048	0.227000
11:02:59.049	0.227000
11:03:00.048	0.226000
11:03:01.049	0.226000
11:03:02.048	0.226000
11:03:03.048	0.226000
11:03:04.049	0.226000
11:03:05.048	0.225000
11:03:06.049	0.225000
11:03:07.048	0.225000
11:03:08.049	0.225000
11:03:09.048	0.225000
11:03:10.048	0.225000
11:03:11.049	0.225000
11:03:12.048	0.224000
11:03:13.049	0.224000
11:03:14.048	0.224000
11:03:15.048	0.224000
11:03:16.048	0.224000
11:03:17.048	0.223000
11:03:18.049	0.223000
11:03:19.048	0.223000
11:03:20.049	0.223000
11:03:21.048	0.222000
11:03:22.048	0.223000
11:03:23.048	0.222000
11:03:24.048	0.222000
11:03:25.049	0.222000
11:03:26.048	0.222000
11:03:27.049	0.222000
11:03:28.048	0.222000
11:03:29.048	0.221000
11:03:30.049	0.221000
11:03:31.048	0.221000
11:03:32.049	0.221000
11:03:33.048	0.221000
11:03:34.048	0.221000
11:03:35.048	0.220000
11:03:36.048	0.220000
11:03:37.049	0.220000
11:03:38.048	0.220000
11:03:39.049	0.220000
11:03:40.048	0.220000
11:03:41.048	0.220000
11:03:42.048	0.219000
11:03:43.048	0.219000
11:03:44.049	0.219000
11:03:45.048	0.219000
11:03:46.049	0.218000
11:03:47.048	0.218000
11:03:48.048	0.218000
11:03:49.048	0.218000
11:03:50.048	0.218000
11:03:51.049	0.219000
11:03:52.048	0.218000
11:03:53.049	0.218000
11:03:54.048	0.218000
11:03:55.048	0.218000
11:03:56.049	0.218000
11:03:57.048	0.218000
11:03:58.049	0.217000
11:03:59.048	0.217000
11:04:00.049	0.217000
11:04:01.048	0.217000
11:04:02.048	0.217000
11:04:03.049	0.217000
11:04:04.048	0.217000
11:04:05.049	0.217000
11:04:06.048	0.216000
11:04:07.048	0.216000
11:04:08.048	0.216000
11:04:09.048	0.216000
11:04:10.049	0.216000
11:04:11.048	0.216000
11:04:12.049	0.216000
11:04:13.048	0.216000
11:04:14.048	0.216000
11:04:15.048	0.216000
11:04:16.048	0.216000
11:04:17.049	0.216000
11:04:18.048	0.216000
11:04:19.049	0.216000
11:04:20.048	0.216000
11:04:21.048	0.216000
11:04:22.048	0.216000
11:04:23.048	0.216000
11:04:24.049	0.216000
11:04:25.048	0.216000
11:04:26.049	0.216000
11:04:27.048	0.216000
11:04:28.048	0.216000
11:04:29.049	0.216000
11:04:30.048	0.216000
11:04:31.049	0.216000
11:04:32.048	0.216000
11:04:33.048	0.216000
11:04:34.048	0.216000
11:04:35.048	0.216000
11:04:36.049	0.216000
11:04:37.048	0.216000
11:04:38.049	0.216000
11:04:39.048	0.216000
11:04:40.048	0.216000
11:04:41.048	0.216000
11:04:42.048	0.216000
11:04:43.049	0.216000
11:04:44.048	0.216000
11:04:45.049	0.216000
11:04:46.048	0.216000
11:04:47.048	0.216000
11:04:48.049	0.216000
11:04:49.048	0.216000
11:04:50.049	0.216000
11:04:51.048	0.217000
11:04:52.049	0.217000
11:04:53.048	0.216000
11:04:54.048	0.217000
11:04:55.049	0.217000
11:04:56.048	0.217000
11:04:57.049	0.217000
11:04:58.048	0.217000
11:04:59.048	0.217000
11:05:00.048	0.217000
11:05:01.048	0.217000
11:05:02.049	0.218000
11:05:03.048	0.218000
11:05:04.049	0.218000
11:05:05.048	0.218000
11:05:06.048	0.218000
11:05:07.048	0.218000
11:05:08.048	0.218000
11:05:09.049	0.218000
11:05:10.048	0.218000
11:05:11.049	0.218000
11:05:12.048	0.218000
11:05:13.048	0.219000
11:05:14.048	0.219000
11:05:15.048	0.219000
11:05:16.049	0.219000
11:05:17.048	0.218000
11:05:18.049	0.219000
11:05:19.048	0.219000
11:05:20.048	0.218000
11:05:21.049	0.219000
11:05:22.048	0.219000
11:05:23.049	0.219000
11:05:24.048	0.219000
11:05:25.048	0.220000
11:05:26.048	0.220000
11:05:27.048	0.220000
11:05:28.049	0.220000
11:05:29.048	0.220000
11:05:30.049	0.220000
11:05:31.048	0.220000
11:05:32.048	0.220000
11:05:33.048	0.220000
11:05:34.048	0.221000
11:05:35.049	0.221000
11:05:36.048	0.220000
11:05:37.049	0.221000
11:05:38.048	0.221000
11:05:39.048	0.221000
11:05:40.048	0.222000
11:05:41.048	0.222000
11:05:42.049	0.222000
11:05:43.048	0.222000
11:05:44.049	0.222000
11:05:45.048	0.222000
11:05:46.048	0.222000
11:05:47.049	0.222000
11:05:48.048	0.222000
11:05:49.049	0.222000
11:05:50.048	0.223000
11:05:51.049	0.222000
11:05:52.048	0.223000
11:05:53.048	0.223000
11:05:54.049	0.223000
11:05:55.048	0.223000
11:05:56.049	0.223000
11:05:57.048	0.224000
11:05:58.048	0.224000
11:05:59.048	0.224000
11:06:00.048	0.224000
11:06:01.049	0.224000
11:06:02.048	0.224000
11:06:03.049	0.224000
11:06:04.048	0.224000
11:06:05.048	0.224000
11:06:06.048	0.225000
11:06:07.048	0.225000
11:06:08.049	0.225000
11:06:09.048	0.225000
11:06:10.049	0.225000
11:06:11.048	0.225000
11:06:12.048	0.225000
11:06:13.049	0.225000
11:06:14.048	0.225000
11:06:15.049	0.225000
11:06:16.048	0.225000
11:06:17.049	0.226000
11:06:18.048	0.226000
11:06:19.048	0.226000
11:06:20.049	0.226000
11:06:21.048	0.226000
11:06:22.049	0.226000
11:06:23.048	0.226000
11:06:24.048	0.226000
11:06:25.048	0.226000
11:06:26.048	0.226000
11:06:27.049	0.227000
11:06:28.048	0.227000
11:06:29.049	0.227000
11:06:30.048	0.227000
11:06:31.048	0.227000
11:06:32.048	0.227000
11:06:33.048	0.227000
11:06:34.049	0.227000
11:06:35.048	0.227000
11:06:36.049	0.228000
11:06:37.048	0.228000
11:06:38.048	0.228000
11:06:39.048	0.228000
11:06:40.048	0.228000
11:06:41.049	0.228000
11:06:42.048	0.228000
11:06:43.049	0.228000
11:06:44.048	0.228000
11:06:45.048	0.228000
11:06:46.049	0.228000
11:06:47.048	0.228000
11:06:48.049	0.228000
11:06:49.048	0.228000
11:06:50.048	0.228000
11:06:51.048	0.228000
11:06:52.048	0.228000
11:06:53.049	0.228000
11:06:54.048	0.228000
11:06:55.049	0.228000
11:06:56.048	0.228000
11:06:57.048	0.228000
11:06:58.048	0.228000
11:06:59.048	0.228000
11:07:00.049	0.228000
11:07:01.048	0.228000
11:07:02.049	0.228000
11:07:03.048	0.228000
11:07:04.048	0.228000
11:07:05.049	0.228000
11:07:06.048	0.228000
11:07:07.049	0.228000
11:07:08.048	0.228000
11:07:09.049	0.228000
11:07:10.048	0.228000
11:07:11.048	0.228000
11:07:12.049	0.228000
11:07:13.048	0.228000
11:07:14.049	0.228000
11:07:15.048	0.228000
11:07:16.048	0.228000
11:07:17.048	0.228000
11:07:18.048	0.228000
11:07:19.049	0.228000
11:07:20.048	0.228000
11:07:21.049	0.228000
11:07:22.048	0.228000
11:07:23.048	0.228000
11:07:24.048	0.228000
11:07:25.048	0.228000
11:07:26.049	0.227000
11:07:27.048	0.227000
11:07:28.049	0.227000
11:07:29.048	0.227000
11:07:30.048	0.227000
11:07:31.048	0.227000
11:07:32.048	0.227000
