Chart Recorder Data File Thu, Feb 27, 2020 12:14 PM
Time (s)	Position (m)  
11:28:49.922	0.221000
11:28:51.922	0.221000
11:28:52.922	0.220000
11:28:53.922	0.219000
11:28:54.922	0.219000
11:28:55.922	0.218000
11:28:56.922	0.218000
11:28:57.922	0.217000
11:28:58.922	0.216000
11:28:59.922	0.216000
11:29:00.922	0.215000
11:29:01.922	0.214000
11:29:02.922	0.213000
11:29:03.922	0.213000
11:29:04.922	0.212000
11:29:05.922	0.212000
11:29:06.922	0.211000
11:29:07.922	0.210000
11:29:08.922	0.209000
11:29:09.921	0.209000
11:29:10.922	0.209000
11:29:11.922	0.208000
11:29:12.922	0.207000
11:29:13.922	0.207000
11:29:14.922	0.206000
11:29:15.922	0.206000
11:29:16.922	0.205000
11:29:17.922	0.204000
11:29:18.922	0.204000
11:29:19.922	0.204000
11:29:20.922	0.203000
11:29:21.922	0.202000
11:29:22.922	0.202000
11:29:23.922	0.201000
11:29:24.922	0.201000
11:29:25.922	0.200000
11:29:26.922	0.200000
11:29:27.922	0.199000
11:29:28.921	0.199000
11:29:29.922	0.198000
11:29:30.922	0.197000
11:29:31.922	0.197000
11:29:32.922	0.197000
11:29:33.922	0.197000
11:29:34.922	0.196000
11:29:35.921	0.196000
11:29:36.922	0.195000
11:29:37.922	0.195000
11:29:38.922	0.194000
11:29:39.922	0.194000
11:29:40.923	0.193000
11:29:41.922	0.193000
11:29:42.921	0.193000
11:29:43.922	0.193000
11:29:44.922	0.192000
11:29:45.922	0.192000
11:29:46.922	0.192000
11:29:47.922	0.191000
11:29:48.922	0.191000
11:29:49.922	0.191000
11:29:50.922	0.190000
11:29:51.922	0.190000
11:29:52.922	0.190000
11:29:53.922	0.190000
11:29:54.921	0.189000
11:29:55.922	0.189000
11:29:56.922	0.189000
11:29:57.922	0.189000
11:29:58.922	0.189000
11:29:59.922	0.188000
11:30:00.922	0.188000
11:30:01.921	0.188000
11:30:02.922	0.188000
11:30:03.922	0.188000
11:30:04.922	0.188000
11:30:05.922	0.188000
11:30:06.922	0.188000
11:30:07.922	0.187000
11:30:08.921	0.187000
11:30:09.922	0.187000
11:30:10.922	0.187000
11:30:11.922	0.187000
11:30:12.922	0.187000
11:30:13.922	0.187000
11:30:14.922	0.187000
11:30:15.922	0.187000
11:30:16.922	0.187000
11:30:17.922	0.187000
11:30:18.922	0.187000
11:30:19.922	0.188000
11:30:20.922	0.188000
11:30:21.922	0.188000
11:30:22.922	0.188000
11:30:23.922	0.188000
11:30:24.922	0.188000
11:30:25.922	0.188000
11:30:26.922	0.189000
11:30:27.922	0.189000
11:30:28.922	0.189000
11:30:29.922	0.189000
11:30:30.922	0.189000
11:30:31.922	0.189000
11:30:32.922	0.189000
11:30:33.922	0.190000
11:30:34.921	0.190000
11:30:35.922	0.190000
11:30:36.922	0.191000
11:30:37.922	0.191000
11:30:38.922	0.191000
11:30:39.922	0.191000
11:30:40.922	0.192000
11:30:41.921	0.192000
11:30:42.922	0.192000
11:30:43.922	0.193000
11:30:44.922	0.193000
11:30:45.922	0.193000
11:30:46.922	0.193000
11:30:47.922	0.194000
