trial,stop,up,vt,v2
1,490,575,0.24016,0.043291
2,505,560,0.24301,0.033004
3,295,340,0.28168,0.037669
4,545,595,0.10526,0.014423
5,340,525,0.073034,0.041731
6,520,585,0.28989,0.10712
7,205,370,0.099138,0.083263
8,255,345,0.10534,0.23397
9,520,585,0.36120,0.091738
10,450,545,0.098753,0.016892
11,270,450,0.22910,0.18841
12,350,470,0.14250,0.050804
13,340,470,0.17653,0.060687
14,480,580,0.10143,0.025641
15,505,565,0.040836,0.015852
16,480,575,0.16923,0.024393
17,490,595,0.17556,0.038265
18,325,500,0.21006,0.11367
19,405,550,0.098261,0.042600
20,500,600,0.27959,0.043853
21,385,555,0.37449,0.17724
22,250,450,0.068652,0.067168
23,355,505,0.083432,0.040598
24,565,600,0.080651,0.026018
25,265,465,0.084965,0.053123
26,335,505,0.16684,0.096154
27,460,585,0.087574,0.030436
28,400,550,0.087278,0.047807
29,540,600,0.11859,0.022854
30,155,520,0.075306,0.19786
31,330,560,0.13201,0.10214
32,390,550,0.013221,0.076454
33,415,580,0.11199,0.028490
34,480,580,0.23619,0.059849
35,290,500,0.10556,0.19431
36,510,590,0.10867,0.019444
37,435,590,0.16958,0.070513
38,235,560,0.10608,0.14293
39,500,590,0.17439,0.024176
40,275,555,0.081798,0.079060
41,390,590,0.16063,0.077885
42,410,570,0.11630,0.024117
43,100,515,0.069605,0.042798
44,155,505,0.13429,0.21096
45,130,400,0.11194,0.21598
46,200,500,0.047863,0.10897
47,210,500,0.069270,0.090326
48,205,500,0.14967,0.18531
49,450,590,0.23139,0.072356
50,500,600,0.14035,0.038101
