 Radioactive Decay Experiment Thu, Oct 31, 2019 9:55 AM
Sample Number	Number of Counts
1	756
2	957
3	901
4	945
5	936
6	961
7	973
8	924
9	886
10	926
11	949
12	947
13	969
14	971
15	1130
16	1192
17	1128
18	1139
19	1099
20	1230
21	1207
22	1167
23	1188
24	1176
25	1161
26	1183
27	1143
28	1202
29	1187
30	1226
31	1194
32	1145
33	1203
34	1167
35	1192
36	1283
37	1206
38	1242
39	1170
40	1210
41	1226
42	1240
43	1173
44	1208
45	1260
46	1186
47	1256
48	1275
49	1229
50	1219
51	1228
52	1257
53	1189
54	1239
55	1228
56	1296
57	1240
58	1223
59	1245
60	1311
61	1199
62	1272
63	1185
64	1296
65	1285
66	1208
67	1286
68	1236
69	1257
70	1275
71	1294
72	1263
73	1236
74	1234
75	846
