 Radioactive Decay Experiment Thu, Oct 31, 2019 10:41 AM
Sample Number	Number of Counts
1	863
2	855
3	884
4	875
5	885
6	892
7	861
8	862
9	780
10	852
11	863
12	825
13	911
14	944
15	966
16	938
17	917
18	931
19	882
20	914
21	929
22	975
23	1000
24	921
25	957
26	970
27	889
28	1001
29	986
30	995
31	974
32	951
33	939
34	1046
35	937
36	1012
37	1046
38	1035
39	1019
40	1013
41	1000
42	996
43	991
44	1055
45	1001
46	1016
47	987
48	1056
49	1117
50	1063
51	1040
52	1034
53	1052
54	1068
55	1092
56	1071
57	1031
58	1072
59	1008
60	1064
61	1098
62	1107
63	1043
64	1092
65	1093
66	1091
67	1113
68	1068
69	1060
70	1121
71	1069
72	1122
73	1155
74	1017
75	1091
76	1103
77	1122
78	1085
79	1108
80	1062
81	1086
82	1113
83	1132
84	1219
85	1122
86	1175
87	1107
88	1117
89	1166
90	1136
91	1141
92	1172
93	1253
94	1166
95	1128
96	1166
97	1177
98	1160
99	1139
100	1180
101	1169
102	1169
103	1201
104	1143
105	1165
106	1200
107	1185
108	1202
109	1168
110	1204
111	1118
112	1149
113	1161
114	1181
115	1190
116	1173
117	1195
118	1144
119	1150
120	1213
121	1211
122	1175
123	1201
124	1212
125	1215
126	1135
