 Radioactive Decay Experiment Tue, Nov 12, 2019 12:06 PM
Sample Number	Number of Counts
1	36
2	49
3	48
4	35
5	41
6	53
7	41
8	42
9	48
10	48
11	48
12	33
13	41
14	44
15	47
16	41
17	40
18	37
19	44
20	39
21	42
22	39
23	35
24	43
25	41
26	37
27	54
28	39
29	31
30	32
31	40
32	41
33	61
34	39
35	43
36	46
37	36
38	38
39	24
40	40
41	43
42	37
43	52
44	41
45	42
46	45
47	47
48	32
49	35
50	48
51	28
52	39
53	31
54	33
55	26
56	36
57	34
58	40
59	32
60	31
61	34
62	30
63	36
64	33
65	47
66	38
67	42
68	28
69	36
70	33
71	21
72	30
73	42
74	44
75	29
76	33
77	39
78	30
79	31
80	39
81	29
82	24
83	37
84	29
85	35
86	37
87	33
88	33
89	40
90	24
91	28
92	35
93	32
94	25
95	23
96	47
97	28
98	39
99	37
100	40
101	29
102	25
103	31
104	32
105	30
106	35
107	33
108	31
109	28
110	25
111	32
112	32
113	27
114	29
115	26
116	35
117	37
118	37
119	22
120	32
121	30
122	26
123	34
124	23
125	28
126	30
127	27
128	24
129	23
130	23
131	19
132	22
133	26
134	20
135	29
136	36
137	33
138	25
139	31
140	27
141	21
142	30
143	22
144	25
145	20
146	36
147	37
148	30
149	26
150	23
151	20
152	19
153	28
154	36
155	23
156	21
157	19
158	31
159	19
160	23
161	22
162	15
163	25
164	22
165	26
166	37
167	27
168	14
169	28
170	27
171	26
172	32
173	23
174	24
175	18
176	21
177	15
178	11
179	23
180	25
181	25
182	23
183	20
184	27
185	23
186	15
187	19
188	23
189	20
190	15
191	13
192	16
193	22
194	15
195	18
196	24
197	19
198	19
199	20
200	26
201	17
202	17
203	22
204	23
205	18
206	20
207	10
208	23
209	19
210	14
211	21
212	22
213	17
214	24
215	17
216	20
217	15
218	21
219	14
220	14
221	32
222	27
223	21
224	21
225	16
226	19
227	27
228	23
229	14
230	19
231	21
232	20
233	16
234	15
235	23
236	24
237	15
238	28
239	23
240	16
241	23
242	23
243	19
244	13
245	17
246	16
247	19
248	19
249	17
250	21
251	24
252	15
253	14
254	20
255	17
256	23
257	14
258	15
259	18
260	12
261	16
262	16
263	18
264	19
265	19
266	23
267	18
268	17
269	17
270	16
271	12
272	21
273	22
274	13
275	24
276	16
277	11
278	11
279	17
280	21
281	18
282	16
283	24
284	23
285	15
286	19
287	13
288	14
289	11
290	11
291	10
292	10
293	26
294	18
295	11
296	13
297	23
298	15
299	13
300	16
301	19
302	17
303	17
304	15
305	18
306	8
307	11
308	22
309	18
310	14
311	15
312	11
313	13
314	25
315	14
316	10
317	12
318	18
319	10
320	16
321	12
322	13
323	16
324	14
325	19
326	15
