 Radioactive Decay Experiment Tue, Nov 12, 2019 10:10 AM
Sample Number	Number of Counts
1	14
2	16
3	7
4	9
5	11
6	9
7	16
8	9
9	8
10	15
11	10
12	10
13	9
14	14
15	14
16	13
17	6
18	11
19	10
20	6
21	18
22	11
23	5
24	15
25	15
26	20
27	6
28	17
29	10
30	8
31	10
32	12
33	9
34	9
35	11
36	6
37	12
38	16
39	9
40	10
41	14
42	7
43	12
44	6
45	7
46	12
47	8
48	13
49	9
50	12
51	14
52	9
53	15
54	11
55	10
56	14
57	11
58	14
59	12
60	6
61	13
62	10
63	18
64	5
65	14
66	8
67	12
68	12
69	12
70	15
71	8
72	6
73	11
74	6
75	9
76	13
77	7
78	6
79	7
80	5
81	13
82	12
83	14
84	17
85	6
86	9
87	6
88	11
89	14
90	8
91	11
92	7
93	9
94	7
95	7
96	13
97	13
98	7
99	14
100	15
101	10
102	13
103	10
104	10
105	11
106	7
107	12
108	9
109	10
110	15
111	7
112	14
113	6
114	16
115	6
116	13
117	16
118	11
119	11
120	17
121	13
122	9
123	12
124	13
125	14
126	16
127	6
128	7
129	17
130	15
131	11
132	15
133	4
134	8
135	11
136	12
137	12
138	10
139	6
140	15
141	14
142	5
143	10
144	7
145	13
146	13
147	12
148	14
149	11
150	8
151	8
152	12
153	12
154	15
155	12
156	12
157	11
158	11
159	10
160	7
161	7
162	15
163	12
164	6
165	5
166	11
167	12
