 Radioactive Decay Experiment Wed, Oct 30, 2019 9:52 AM
Sample Number	Number of Counts
1	6
2	8
3	15
4	19
5	14
6	13
7	15
8	11
9	8
10	16
11	11
12	8
13	15
14	14
15	8
16	11
17	7
18	10
19	16
20	13
21	12
22	12
23	10
24	9
25	14
26	13
27	4
28	13
29	12
30	8
31	11
32	7
33	10
34	9
35	8
36	7
37	15
38	15
39	5
40	9
41	4
42	12
43	8
44	4
45	11
46	10
47	11
48	8
49	9
50	11
51	13
52	14
53	11
54	11
55	19
56	10
57	15
58	9
59	9
60	10
61	7
62	13
63	5
64	14
65	10
66	9
67	13
68	7
69	14
70	11
71	13
72	9
73	7
74	4
75	17
76	9
77	8
78	13
79	8
80	7
81	11
82	9
83	15
84	18
85	15
86	10
87	11
88	11
89	5
90	14
91	16
92	4
93	11
94	9
95	12
96	5
97	14
98	11
99	10
100	13
101	7
102	14
103	11
104	16
105	6
106	9
107	17
108	9
109	14
110	13
111	11
112	5
113	8
114	7
115	13
116	13
117	10
118	17
119	22
120	9
121	10
122	14
123	10
124	15
125	11
126	6
127	9
128	11
129	12
130	15
131	7
132	10
133	16
134	12
135	7
136	6
137	13
138	11
139	5
140	9
141	7
142	14
143	5
144	13
145	9
