Time(s),DC Current (A),DC Voltage (V),T1(°C),T2(°C)
29.99,10.594,3.235,24.6,18.2
42.99,10.519,3.238,25.8,16.7
49.33,10.529,3.252,26.2,15.9
70.37,10.504,3.276,27.4,13.6
80.39,10.47,3.274,27.9,12.6
90.98,10.459,3.26,28.4,11.7
110.35,10.385,3.273,29,9.9
125.58,10.352,3.273,29.4,8.6
155.06,10.315,3.278,29.9,6.5
180.59,10.325,3.288,30.2,4.8
210.37,10.268,3.278,30.3,3.1
240.45,10.244,3.277,30.4,1.6
270.56,10.28,3.291,30.4,0.2
300.43,10.291,3.299,30.4,-0.9
331.78,10.273,3.297,30.4,-2.1
360.48,10.279,3.301,30.4,-3.1
391.36,10.273,3.301,30.2,-3.9
425.18,10.243,3.292,30.2,-4.7
480.68,10.24,3.293,30.2,-5.8
510.33,10.257,3.299,30.1,-6.4
540.43,10.243,3.294,30,-6.8
571.36,10.238,3.292,30,-7.2
600.59,10.237,3.294,30,-7.6
660.89,10.215,3.288,29.9,-8
720.49,10.212,3.287,29.9,-8.5
780.45,10.2,3.286,29.9,-8.8
843.28,10.166,3.275,29.9,-8.9
903.59,10.173,3.278,29.8,-9.1
