Time(s),DC Current (A),DC Voltage (V),T1 (°C),T2(°C)
1.28,7.177,3.175,24.9,24.1
2.78,11.215,3.205,24.9,24
10.68,10.97,3.234,25.2,23.6
20.39,10.898,3.28,26.1,22.4
30.35,10.861,3.297,27,20.9
40.46,10.809,3.292,28,19.6
50.7,10.758,3.277,28.8,18.3
60.28,10.714,3.3,29.5,17.2
70.98,10.697,3.287,30.1,16
80.36,10.665,3.309,30.6,14.9
90.28,10.662,3.331,31,14
100.34,10.624,3.309,31.4,12.9
110.28,10.608,3.318,31.6,12.1
120.26,10.588,3.31,31.9,11.2
130.49,10.584,3.33,32.1,10.3
140.26,10.564,3.336,32.4,9.5
150.49,10.538,3.343,32.5,8.7
160.35,10.544,3.335,32.6,7.9
170.37,10.522,3.311,32.7,7.2
180.45,10.518,3.344,32.8,6.6
210.28,10.492,3.333,32.9,4.5
240.46,10.461,3.35,32.9,2.8
270.38,10.451,3.352,32.9,1.4
300.58,10.464,3.348,32.9,0.1
330.49,10.435,3.328,32.8,-1
360.32,10.44,3.36,32.8,-2
396.58,10.44,3.338,32.7,-3.2
420.99,10.428,3.326,32.7,-3.8
480.7,10.401,3.325,32.5,-5.2
540.69,10.167,3.289,32.4,-6.2
600.76,10.185,3.277,32.2,-7
659.88,10.199,3.26,32,-7.5
720.66,10.188,3.26,31.9,-8
787.06,10.168,3.256,31.9,-8.4
840.38,10.196,3.259,31.9,-8.5
900.36,10.134,3.254,31.9,-8.8
